Bundesland;Datum;Altersgrupppe;EW_Fallzahl
Baden-Württemberg;2020-03-28;00-19;38.158
Baden-Württemberg;2020-03-28;20-59;498.17
Baden-Württemberg;2020-03-28;60+;249.76
Baden-Württemberg;2020-03-29;00-19;33.608
Baden-Württemberg;2020-03-29;20-59;440.12
Baden-Württemberg;2020-03-29;60+;212.42
Baden-Württemberg;2020-03-30;00-19;54.108
Baden-Württemberg;2020-03-30;20-59;536.92
Baden-Württemberg;2020-03-30;60+;343.73
Baden-Württemberg;2020-03-31;00-19;31.875
Baden-Württemberg;2020-03-31;20-59;422.86
Baden-Württemberg;2020-03-31;60+;265.32
Baden-Württemberg;2020-04-01;00-19;55.45
Baden-Württemberg;2020-04-01;20-59;462.91
Baden-Württemberg;2020-04-01;60+;281.49
Baden-Württemberg;2020-04-02;00-19;26.6
Baden-Württemberg;2020-04-02;20-59;401.62
Baden-Württemberg;2020-04-02;60+;287.42
Baden-Württemberg;2020-04-03;00-19;43.933
Baden-Württemberg;2020-04-03;20-59;397
Baden-Württemberg;2020-04-03;60+;279.38
Baden-Württemberg;2020-04-04;00-19;19.608
Baden-Württemberg;2020-04-04;20-59;346.88
Baden-Württemberg;2020-04-04;60+;209.25
Baden-Württemberg;2020-04-05;00-19;14.392
Baden-Württemberg;2020-04-05;20-59;283.73
Baden-Württemberg;2020-04-05;60+;183.07
Baden-Württemberg;2020-04-06;00-19;30.533
Baden-Württemberg;2020-04-06;20-59;355.68
Baden-Württemberg;2020-04-06;60+;252.38
Baden-Württemberg;2020-04-07;00-19;38.108
Baden-Württemberg;2020-04-07;20-59;277.28
Baden-Württemberg;2020-04-07;60+;246.39
Baden-Württemberg;2020-04-08;00-19;31.767
Baden-Württemberg;2020-04-08;20-59;298.25
Baden-Württemberg;2020-04-08;60+;227.18
Baden-Württemberg;2020-04-09;00-19;27.7
Baden-Württemberg;2020-04-09;20-59;289.68
Baden-Württemberg;2020-04-09;60+;198.28
Baden-Württemberg;2020-04-10;00-19;19.908
Baden-Württemberg;2020-04-10;20-59;277.82
Baden-Württemberg;2020-04-10;60+;196.31
Baden-Württemberg;2020-04-11;00-19;24.092
Baden-Württemberg;2020-04-11;20-59;225.22
Baden-Württemberg;2020-04-11;60+;144.3
Baden-Württemberg;2020-04-12;00-19;25.775
Baden-Württemberg;2020-04-12;20-59;212.38
Baden-Württemberg;2020-04-12;60+;140.95
Baden-Württemberg;2020-04-13;00-19;23.375
Baden-Württemberg;2020-04-13;20-59;223.72
Baden-Württemberg;2020-04-13;60+;135.97
Baden-Württemberg;2020-04-14;00-19;18.742
Baden-Württemberg;2020-04-14;20-59;213.52
Baden-Württemberg;2020-04-14;60+;139.16
Baden-Württemberg;2020-04-15;00-19;20.85
Baden-Württemberg;2020-04-15;20-59;231.36
Baden-Württemberg;2020-04-15;60+;123.46
Baden-Württemberg;2020-04-16;00-19;24.817
Baden-Württemberg;2020-04-16;20-59;176.01
Baden-Württemberg;2020-04-16;60+;139.53
Baden-Württemberg;2020-04-17;00-19;14.217
Baden-Württemberg;2020-04-17;20-59;198.43
Baden-Württemberg;2020-04-17;60+;111.4
Baden-Württemberg;2020-04-18;00-19;15.083
Baden-Württemberg;2020-04-18;20-59;170.9
Baden-Württemberg;2020-04-18;60+;103.5
Baden-Württemberg;2020-04-19;00-19;14.242
Baden-Württemberg;2020-04-19;20-59;164.12
Baden-Württemberg;2020-04-19;60+;80.75
Baden-Württemberg;2020-04-20;00-19;14.975
Baden-Württemberg;2020-04-20;20-59;171.68
Baden-Württemberg;2020-04-20;60+;101.58
Baden-Württemberg;2020-04-21;00-19;14.325
Baden-Württemberg;2020-04-21;20-59;142.51
Baden-Württemberg;2020-04-21;60+;116.27
Baden-Württemberg;2020-04-22;00-19;15.092
Baden-Württemberg;2020-04-22;20-59;139.76
Baden-Württemberg;2020-04-22;60+;98.575
Baden-Württemberg;2020-04-23;00-19;19.233
Baden-Württemberg;2020-04-23;20-59;119.86
Baden-Württemberg;2020-04-23;60+;102.66
Baden-Württemberg;2020-04-24;00-19;11.917
Baden-Württemberg;2020-04-24;20-59;112.53
Baden-Württemberg;2020-04-24;60+;63.533
Baden-Württemberg;2020-04-25;00-19;15.425
Baden-Württemberg;2020-04-25;20-59;98.683
Baden-Württemberg;2020-04-25;60+;54.725
Baden-Württemberg;2020-04-26;00-19;17.608
Baden-Württemberg;2020-04-26;20-59;65.417
Baden-Württemberg;2020-04-26;60+;47.708
Baden-Württemberg;2020-04-27;00-19;12.867
Baden-Württemberg;2020-04-27;20-59;93.1
Baden-Württemberg;2020-04-27;60+;76.725
Baden-Württemberg;2020-04-28;00-19;11.725
Baden-Württemberg;2020-04-28;20-59;79.45
Baden-Württemberg;2020-04-28;60+;50.442
Baden-Württemberg;2020-04-29;00-19;12.575
Baden-Württemberg;2020-04-29;20-59;69.75
Baden-Württemberg;2020-04-29;60+;55.067
Baden-Württemberg;2020-04-30;00-19;14.675
Baden-Württemberg;2020-04-30;20-59;59.617
Baden-Württemberg;2020-04-30;60+;60.2
Baden-Württemberg;2020-05-01;00-19;14.475
Baden-Württemberg;2020-05-01;20-59;71.95
Baden-Württemberg;2020-05-01;60+;29.592
Baden-Württemberg;2020-05-02;00-19;8.0333
Baden-Württemberg;2020-05-02;20-59;48.925
Baden-Württemberg;2020-05-02;60+;25.825
Baden-Württemberg;2020-05-03;00-19;9.5667
Baden-Württemberg;2020-05-03;20-59;67.108
Baden-Württemberg;2020-05-03;60+;37.192
Baden-Württemberg;2020-05-04;00-19;15.142
Baden-Württemberg;2020-05-04;20-59;66.975
Baden-Württemberg;2020-05-04;60+;48.833
Baden-Württemberg;2020-05-05;00-19;7.4917
Baden-Württemberg;2020-05-05;20-59;63.767
Baden-Württemberg;2020-05-05;60+;39.242
Baden-Württemberg;2020-05-06;00-19;12.6
Baden-Württemberg;2020-05-06;20-59;60.267
Baden-Württemberg;2020-05-06;60+;39.9
Baden-Württemberg;2020-05-07;00-19;6.6
Baden-Württemberg;2020-05-07;20-59;64.45
Baden-Württemberg;2020-05-07;60+;33.133
Baden-Württemberg;2020-05-08;00-19;6.2083
Baden-Württemberg;2020-05-08;20-59;69.108
Baden-Württemberg;2020-05-08;60+;36.7
Baden-Württemberg;2020-05-09;00-19;2.4917
Baden-Württemberg;2020-05-09;20-59;54.275
Baden-Württemberg;2020-05-09;60+;16.725
Baden-Württemberg;2020-05-10;00-19;5.175
Baden-Württemberg;2020-05-10;20-59;41.883
Baden-Württemberg;2020-05-10;60+;32.142
Baden-Württemberg;2020-05-11;00-19;9.3
Baden-Württemberg;2020-05-11;20-59;50.8
Baden-Württemberg;2020-05-11;60+;23.775
Baden-Württemberg;2020-05-12;00-19;10.092
Baden-Württemberg;2020-05-12;20-59;47.117
Baden-Württemberg;2020-05-12;60+;23.825
Baden-Württemberg;2020-05-13;00-19;4.3333
Baden-Württemberg;2020-05-13;20-59;48.492
Baden-Württemberg;2020-05-13;60+;27.517
Baden-Württemberg;2020-05-14;00-19;3.0833
Baden-Württemberg;2020-05-14;20-59;25.133
Baden-Württemberg;2020-05-14;60+;26.383
Baden-Württemberg;2020-05-15;00-19;2.85
Baden-Württemberg;2020-05-15;20-59;32.392
Baden-Württemberg;2020-05-15;60+;21.825
Baden-Württemberg;2020-05-16;00-19;4.075
Baden-Württemberg;2020-05-16;20-59;30.283
Baden-Württemberg;2020-05-16;60+;20.75
Baden-Württemberg;2020-05-17;00-19;1.9417
Baden-Württemberg;2020-05-17;20-59;27.383
Baden-Württemberg;2020-05-17;60+;12.675
Baden-Württemberg;2020-05-18;00-19;7.5083
Baden-Württemberg;2020-05-18;20-59;40.742
Baden-Württemberg;2020-05-18;60+;22.733
Baden-Württemberg;2020-05-19;00-19;2.525
Baden-Württemberg;2020-05-19;20-59;30.8
Baden-Württemberg;2020-05-19;60+;29.033
Baden-Württemberg;2020-05-20;00-19;6.9417
Baden-Württemberg;2020-05-20;20-59;28.858
Baden-Württemberg;2020-05-20;60+;33.233
Baden-Württemberg;2020-05-21;00-19;7.1333
Baden-Württemberg;2020-05-21;20-59;22.425
Baden-Württemberg;2020-05-21;60+;15.542
Baden-Württemberg;2020-05-22;00-19;2.6583
Baden-Württemberg;2020-05-22;20-59;23.275
Baden-Württemberg;2020-05-22;60+;12.817
Baden-Württemberg;2020-05-23;00-19;1.55
Baden-Württemberg;2020-05-23;20-59;28.508
Baden-Württemberg;2020-05-23;60+;13.133
Baden-Württemberg;2020-05-24;00-19;2.7417
Baden-Württemberg;2020-05-24;20-59;22.517
Baden-Württemberg;2020-05-24;60+;10.708
Baden-Württemberg;2020-05-25;00-19;2.025
Baden-Württemberg;2020-05-25;20-59;26.192
Baden-Württemberg;2020-05-25;60+;17.083
Baden-Württemberg;2020-05-26;00-19;2
Baden-Württemberg;2020-05-26;20-59;25.25
Baden-Württemberg;2020-05-26;60+;18.692
Baden-Württemberg;2020-05-27;00-19;4.4917
Baden-Württemberg;2020-05-27;20-59;20.717
Baden-Württemberg;2020-05-27;60+;15.992
Baden-Württemberg;2020-05-28;00-19;3.5833
Baden-Württemberg;2020-05-28;20-59;16.758
Baden-Württemberg;2020-05-28;60+;10.417
Baden-Württemberg;2020-05-29;00-19;4.0917
Baden-Württemberg;2020-05-29;20-59;19.75
Baden-Württemberg;2020-05-29;60+;5.375
Baden-Württemberg;2020-05-30;00-19;2.4583
Baden-Württemberg;2020-05-30;20-59;12.867
Baden-Württemberg;2020-05-30;60+;3.1
Baden-Württemberg;2020-05-31;00-19;1.1583
Baden-Württemberg;2020-05-31;20-59;16.158
Baden-Württemberg;2020-05-31;60+;8.3083
Baden-Württemberg;2020-06-01;00-19;1.7417
Baden-Württemberg;2020-06-01;20-59;16.183
Baden-Württemberg;2020-06-01;60+;4.65
Baden-Württemberg;2020-06-02;00-19;5.6333
Baden-Württemberg;2020-06-02;20-59;18.217
Baden-Württemberg;2020-06-02;60+;4.7833
Baden-Württemberg;2020-06-03;00-19;5.6167
Baden-Württemberg;2020-06-03;20-59;23.225
Baden-Württemberg;2020-06-03;60+;9.925
Baden-Württemberg;2020-06-04;00-19;1.6667
Baden-Württemberg;2020-06-04;20-59;15.742
Baden-Württemberg;2020-06-04;60+;6.2333
Baden-Württemberg;2020-06-05;00-19;2.6417
Baden-Württemberg;2020-06-05;20-59;18.067
Baden-Württemberg;2020-06-05;60+;7.825
Baden-Württemberg;2020-06-06;00-19;2.725
Baden-Württemberg;2020-06-06;20-59;12.458
Baden-Württemberg;2020-06-06;60+;3.8417
Baden-Württemberg;2020-06-07;00-19;3.3417
Baden-Württemberg;2020-06-07;20-59;15.108
Baden-Württemberg;2020-06-07;60+;4.9417
Baden-Württemberg;2020-06-08;00-19;3.0417
Baden-Württemberg;2020-06-08;20-59;20.442
Baden-Württemberg;2020-06-08;60+;8.2083
Baden-Württemberg;2020-06-09;00-19;5.8417
Baden-Württemberg;2020-06-09;20-59;25.417
Baden-Württemberg;2020-06-09;60+;7.1333
Baden-Württemberg;2020-06-10;00-19;3.4417
Baden-Württemberg;2020-06-10;20-59;13.667
Baden-Württemberg;2020-06-10;60+;6.9167
Baden-Württemberg;2020-06-11;00-19;4.1583
Baden-Württemberg;2020-06-11;20-59;10.667
Baden-Württemberg;2020-06-11;60+;6.1083
Baden-Württemberg;2020-06-12;00-19;1.125
Baden-Württemberg;2020-06-12;20-59;14.042
Baden-Württemberg;2020-06-12;60+;9.3083
Baden-Württemberg;2020-06-13;00-19;1.3583
Baden-Württemberg;2020-06-13;20-59;15.525
Baden-Württemberg;2020-06-13;60+;4.65
Baden-Württemberg;2020-06-14;00-19;2.4833
Baden-Württemberg;2020-06-14;20-59;15.892
Baden-Württemberg;2020-06-14;60+;4.3667
Baden-Württemberg;2020-06-15;00-19;5.6917
Baden-Württemberg;2020-06-15;20-59;16.233
Baden-Württemberg;2020-06-15;60+;7.2583
Baden-Württemberg;2020-06-16;00-19;5.1833
Baden-Württemberg;2020-06-16;20-59;20.417
Baden-Württemberg;2020-06-16;60+;4.0083
Baden-Württemberg;2020-06-17;00-19;9.3083
Baden-Württemberg;2020-06-17;20-59;26.117
Baden-Württemberg;2020-06-17;60+;3.4583
Baden-Württemberg;2020-06-18;00-19;6.45
Baden-Württemberg;2020-06-18;20-59;18.508
Baden-Württemberg;2020-06-18;60+;5.0667
Baden-Württemberg;2020-06-19;00-19;7.6917
Baden-Württemberg;2020-06-19;20-59;27.342
Baden-Württemberg;2020-06-19;60+;6.325
Baden-Württemberg;2020-06-20;00-19;3.375
Baden-Württemberg;2020-06-20;20-59;18.158
Baden-Württemberg;2020-06-20;60+;14.15
Baden-Württemberg;2020-06-21;00-19;4.0417
Baden-Württemberg;2020-06-21;20-59;14.75
Baden-Württemberg;2020-06-21;60+;6.6583
Baden-Württemberg;2020-06-22;00-19;8.35
Baden-Württemberg;2020-06-22;20-59;26.775
Baden-Württemberg;2020-06-22;60+;12.742
Baden-Württemberg;2020-06-23;00-19;6.0667
Baden-Württemberg;2020-06-23;20-59;28.533
Baden-Württemberg;2020-06-23;60+;8.15
Baden-Württemberg;2020-06-24;00-19;8.3333
Baden-Württemberg;2020-06-24;20-59;35.408
Baden-Württemberg;2020-06-24;60+;9.25
Baden-Württemberg;2020-06-25;00-19;6.8917
Baden-Württemberg;2020-06-25;20-59;16.725
Baden-Württemberg;2020-06-25;60+;6.8083
Baden-Württemberg;2020-06-26;00-19;8.0167
Baden-Württemberg;2020-06-26;20-59;25.508
Baden-Württemberg;2020-06-26;60+;9.25
Baden-Württemberg;2020-06-27;00-19;3.1
Baden-Württemberg;2020-06-27;20-59;18.475
Baden-Württemberg;2020-06-27;60+;5.15
Baden-Württemberg;2020-06-28;00-19;4.7583
Baden-Württemberg;2020-06-28;20-59;18.475
Baden-Württemberg;2020-06-28;60+;3.8167
Baden-Württemberg;2020-06-29;00-19;7.2833
Baden-Württemberg;2020-06-29;20-59;20.175
Baden-Württemberg;2020-06-29;60+;4.1583
Baden-Württemberg;2020-06-30;00-19;7.525
Baden-Württemberg;2020-06-30;20-59;23.933
Baden-Württemberg;2020-06-30;60+;1.0333
Baden-Württemberg;2020-07-01;00-19;4.3833
Baden-Württemberg;2020-07-01;20-59;22.367
Baden-Württemberg;2020-07-01;60+;5.9417
Baden-Württemberg;2020-07-02;00-19;3.6917
Baden-Württemberg;2020-07-02;20-59;21.967
Baden-Württemberg;2020-07-02;60+;7.6417
Baden-Württemberg;2020-07-03;00-19;8.5667
Baden-Württemberg;2020-07-03;20-59;19.225
Baden-Württemberg;2020-07-03;60+;5.975
Baden-Württemberg;2020-07-04;00-19;4.9667
Baden-Württemberg;2020-07-04;20-59;22.717
Baden-Württemberg;2020-07-04;60+;6.2333
Baden-Württemberg;2020-07-05;00-19;5.9083
Baden-Württemberg;2020-07-05;20-59;16.033
Baden-Württemberg;2020-07-05;60+;4.175
Baden-Württemberg;2020-07-06;00-19;9.6917
Baden-Württemberg;2020-07-06;20-59;34.975
Baden-Württemberg;2020-07-06;60+;4.4167
Baden-Württemberg;2020-07-07;00-19;7.925
Baden-Württemberg;2020-07-07;20-59;23.517
Baden-Württemberg;2020-07-07;60+;6.3833
Baden-Württemberg;2020-07-08;00-19;10.158
Baden-Württemberg;2020-07-08;20-59;26.4
