Bundesland;Datum;Altersgrupppe;EW_Fallzahl
Hamburg;2020-03-26;00-19;5.2083
Hamburg;2020-03-26;20-59;70.483
Hamburg;2020-03-26;60+;28.858
Hamburg;2020-03-27;00-19;9.3917
Hamburg;2020-03-27;20-59;66.725
Hamburg;2020-03-27;60+;32.908
Hamburg;2020-03-28;00-19;9.0167
Hamburg;2020-03-28;20-59;50.375
Hamburg;2020-03-28;60+;29.158
Hamburg;2020-03-29;00-19;4.375
Hamburg;2020-03-29;20-59;51.675
Hamburg;2020-03-29;60+;20.983
Hamburg;2020-03-30;00-19;6.35
Hamburg;2020-03-30;20-59;61.508
Hamburg;2020-03-30;60+;26.158
Hamburg;2020-03-31;00-19;3.4917
Hamburg;2020-03-31;20-59;62.817
Hamburg;2020-03-31;60+;38.417
Hamburg;2020-04-01;00-19;8.8333
Hamburg;2020-04-01;20-59;58.05
Hamburg;2020-04-01;60+;30.625
Hamburg;2020-04-02;00-19;9.0083
Hamburg;2020-04-02;20-59;63.142
Hamburg;2020-04-02;60+;42.058
Hamburg;2020-04-03;00-19;5.4583
Hamburg;2020-04-03;20-59;60.383
Hamburg;2020-04-03;60+;33.708
Hamburg;2020-04-04;00-19;10.933
Hamburg;2020-04-04;20-59;53.075
Hamburg;2020-04-04;60+;26.658
Hamburg;2020-04-05;00-19;1.6583
Hamburg;2020-04-05;20-59;55.208
Hamburg;2020-04-05;60+;22.783
Hamburg;2020-04-06;00-19;3.6667
Hamburg;2020-04-06;20-59;59.633
Hamburg;2020-04-06;60+;36.083
Hamburg;2020-04-07;00-19;3.8917
Hamburg;2020-04-07;20-59;42.017
Hamburg;2020-04-07;60+;32.808
Hamburg;2020-04-08;00-19;7.45
Hamburg;2020-04-08;20-59;43.483
Hamburg;2020-04-08;60+;23.8
Hamburg;2020-04-09;00-19;2.0583
Hamburg;2020-04-09;20-59;45.117
Hamburg;2020-04-09;60+;22.583
Hamburg;2020-04-10;00-19;4.225
Hamburg;2020-04-10;20-59;37.733
Hamburg;2020-04-10;60+;12.292
Hamburg;2020-04-11;00-19;3.2167
Hamburg;2020-04-11;20-59;30.858
Hamburg;2020-04-11;60+;12.883
Hamburg;2020-04-12;00-19;1.1667
Hamburg;2020-04-12;20-59;25.692
Hamburg;2020-04-12;60+;28.142
Hamburg;2020-04-13;00-19;2.1833
Hamburg;2020-04-13;20-59;30.125
Hamburg;2020-04-13;60+;19.4
Hamburg;2020-04-14;00-19;1.075
Hamburg;2020-04-14;20-59;22.2
Hamburg;2020-04-14;60+;15.317
Hamburg;2020-04-15;00-19;1.0667
Hamburg;2020-04-15;20-59;22.367
Hamburg;2020-04-15;60+;15.45
Hamburg;2020-04-16;00-19;3.9417
Hamburg;2020-04-16;20-59;16.842
Hamburg;2020-04-16;60+;16.975
Hamburg;2020-04-17;00-19;1.375
Hamburg;2020-04-17;20-59;25.367
Hamburg;2020-04-17;60+;11.542
Hamburg;2020-04-18;00-19;0.55
Hamburg;2020-04-18;20-59;17.292
Hamburg;2020-04-18;60+;9.3417
Hamburg;2020-04-19;00-19;0.65833
Hamburg;2020-04-19;20-59;18.158
Hamburg;2020-04-19;60+;13.4
Hamburg;2020-04-20;00-19;1.8417
Hamburg;2020-04-20;20-59;17.983
Hamburg;2020-04-20;60+;18.733
Hamburg;2020-04-21;00-19;0.39167
Hamburg;2020-04-21;20-59;21.108
Hamburg;2020-04-21;60+;14.825
Hamburg;2020-04-22;00-19;1.35
Hamburg;2020-04-22;20-59;15.833
Hamburg;2020-04-22;60+;10.467
Hamburg;2020-04-23;00-19;1.6583
Hamburg;2020-04-23;20-59;21.333
Hamburg;2020-04-23;60+;10.475
Hamburg;2020-04-24;00-19;0.41667
Hamburg;2020-04-24;20-59;10.783
Hamburg;2020-04-24;60+;15.083
Hamburg;2020-04-25;00-19;1.3417
Hamburg;2020-04-25;20-59;10.642
Hamburg;2020-04-25;60+;14.942
Hamburg;2020-04-26;00-19;0.48333
Hamburg;2020-04-26;20-59;10.5
Hamburg;2020-04-26;60+;8.4167
Hamburg;2020-04-27;00-19;0.44167
Hamburg;2020-04-27;20-59;10.425
Hamburg;2020-04-27;60+;9.7583
Hamburg;2020-04-28;00-19;0.50833
Hamburg;2020-04-28;20-59;8
Hamburg;2020-04-28;60+;5.5167
Hamburg;2020-04-29;00-19;0.28333
Hamburg;2020-04-29;20-59;8.875
Hamburg;2020-04-29;60+;11.458
Hamburg;2020-04-30;00-19;0.39167
Hamburg;2020-04-30;20-59;8.1417
Hamburg;2020-04-30;60+;5.1917
Hamburg;2020-05-01;00-19;2.5917
Hamburg;2020-05-01;20-59;9.5667
Hamburg;2020-05-01;60+;3.8833
Hamburg;2020-05-02;00-19;0.59167
Hamburg;2020-05-02;20-59;5.525
Hamburg;2020-05-02;60+;7.675
Hamburg;2020-05-03;00-19;0.58333
Hamburg;2020-05-03;20-59;8.6333
Hamburg;2020-05-03;60+;3.775
Hamburg;2020-05-04;00-19;0.5
Hamburg;2020-05-04;20-59;8.9333
Hamburg;2020-05-04;60+;5.4667
Hamburg;2020-05-05;00-19;0.45833
Hamburg;2020-05-05;20-59;9.7
Hamburg;2020-05-05;60+;6.3167
Hamburg;2020-05-06;00-19;0.425
Hamburg;2020-05-06;20-59;11.033
Hamburg;2020-05-06;60+;8.1917
Hamburg;2020-05-07;00-19;0.56667
Hamburg;2020-05-07;20-59;8
Hamburg;2020-05-07;60+;5.2583
Hamburg;2020-05-08;00-19;0.34167
Hamburg;2020-05-08;20-59;7.55
Hamburg;2020-05-08;60+;8.3583
Hamburg;2020-05-09;00-19;0.28333
Hamburg;2020-05-09;20-59;5.8667
Hamburg;2020-05-09;60+;3.35
Hamburg;2020-05-10;00-19;0.25
Hamburg;2020-05-10;20-59;4.0083
Hamburg;2020-05-10;60+;2.5583
Hamburg;2020-05-11;00-19;0.68333
Hamburg;2020-05-11;20-59;6.6583
Hamburg;2020-05-11;60+;3.7583
Hamburg;2020-05-12;00-19;0.35833
Hamburg;2020-05-12;20-59;3.5667
Hamburg;2020-05-12;60+;2.725
Hamburg;2020-05-13;00-19;0.30833
Hamburg;2020-05-13;20-59;4.9583
Hamburg;2020-05-13;60+;4.9
Hamburg;2020-05-14;00-19;0.05
Hamburg;2020-05-14;20-59;1.175
Hamburg;2020-05-14;60+;3.5917
Hamburg;2020-05-15;00-19;0.36667
Hamburg;2020-05-15;20-59;1.3333
Hamburg;2020-05-15;60+;4.7667
Hamburg;2020-05-16;00-19;0.36667
Hamburg;2020-05-16;20-59;2.2083
Hamburg;2020-05-16;60+;1.65
Hamburg;2020-05-17;00-19;0.38333
Hamburg;2020-05-17;20-59;0.80833
Hamburg;2020-05-17;60+;1.0833
Hamburg;2020-05-18;00-19;0.75
Hamburg;2020-05-18;20-59;2.0833
Hamburg;2020-05-18;60+;5.15
Hamburg;2020-05-19;00-19;0.68333
Hamburg;2020-05-19;20-59;1.0083
Hamburg;2020-05-19;60+;2.075
Hamburg;2020-05-20;00-19;0.275
Hamburg;2020-05-20;20-59;1.0417
Hamburg;2020-05-20;60+;1.2083
Hamburg;2020-05-21;00-19;0.49167
Hamburg;2020-05-21;20-59;0.85
Hamburg;2020-05-21;60+;0.525
Hamburg;2020-05-22;00-19;0.29167
Hamburg;2020-05-22;20-59;4.8333
Hamburg;2020-05-22;60+;0.25833
Hamburg;2020-05-23;00-19;0.11667
Hamburg;2020-05-23;20-59;0.45833
Hamburg;2020-05-23;60+;0.26667
Hamburg;2020-05-24;00-19;0.3
Hamburg;2020-05-24;20-59;0.96667
Hamburg;2020-05-24;60+;0.10833
Hamburg;2020-05-25;00-19;0.44167
Hamburg;2020-05-25;20-59;1.7667
Hamburg;2020-05-25;60+;0.20833
Hamburg;2020-05-26;00-19;1.4333
Hamburg;2020-05-26;20-59;1.9667
Hamburg;2020-05-26;60+;0.3
Hamburg;2020-05-27;00-19;1.2583
Hamburg;2020-05-27;20-59;0.8
Hamburg;2020-05-27;60+;0.45833
Hamburg;2020-05-28;00-19;1.7167
Hamburg;2020-05-28;20-59;3.7583
Hamburg;2020-05-28;60+;0.11667
Hamburg;2020-05-29;00-19;0.53333
Hamburg;2020-05-29;20-59;3.6833
Hamburg;2020-05-29;60+;0.10833
Hamburg;2020-05-30;00-19;0.20833
Hamburg;2020-05-30;20-59;2.6333
Hamburg;2020-05-30;60+;0.091667
Hamburg;2020-05-31;00-19;0.31667
Hamburg;2020-05-31;20-59;1.7833
Hamburg;2020-05-31;60+;1.025
Hamburg;2020-06-01;00-19;0.3
Hamburg;2020-06-01;20-59;2.8417
Hamburg;2020-06-01;60+;1.1917
Hamburg;2020-06-02;00-19;0.56667
Hamburg;2020-06-02;20-59;1.8833
Hamburg;2020-06-02;60+;3.2333
Hamburg;2020-06-03;00-19;0.5
Hamburg;2020-06-03;20-59;4.1917
Hamburg;2020-06-03;60+;0.21667
Hamburg;2020-06-04;00-19;1.2417
Hamburg;2020-06-04;20-59;0.675
Hamburg;2020-06-04;60+;0.15833
Hamburg;2020-06-05;00-19;1.2167
Hamburg;2020-06-05;20-59;2.1417
Hamburg;2020-06-05;60+;1
Hamburg;2020-06-06;00-19;0.23333
Hamburg;2020-06-06;20-59;3.5833
Hamburg;2020-06-06;60+;2.0417
Hamburg;2020-06-07;00-19;0.14167
Hamburg;2020-06-07;20-59;0.43333
Hamburg;2020-06-07;60+;0.05
Hamburg;2020-06-08;00-19;0.7
Hamburg;2020-06-08;20-59;2.975
Hamburg;2020-06-08;60+;0.34167
Hamburg;2020-06-09;00-19;0.45
Hamburg;2020-06-09;20-59;3.4667
Hamburg;2020-06-09;60+;0.86667
Hamburg;2020-06-10;00-19;1.925
Hamburg;2020-06-10;20-59;1.4333
Hamburg;2020-06-10;60+;0.11667
Hamburg;2020-06-11;00-19;1.5917
Hamburg;2020-06-11;20-59;1.6917
Hamburg;2020-06-11;60+;0.025
Hamburg;2020-06-12;00-19;0.76667
Hamburg;2020-06-12;20-59;4.5
Hamburg;2020-06-12;60+;0.16667
Hamburg;2020-06-13;00-19;0.45833
Hamburg;2020-06-13;20-59;2.4
Hamburg;2020-06-13;60+;0.48333
Hamburg;2020-06-14;00-19;0.375
Hamburg;2020-06-14;20-59;3.3417
Hamburg;2020-06-14;60+;1.2917
Hamburg;2020-06-15;00-19;1.2
Hamburg;2020-06-15;20-59;3.3333
Hamburg;2020-06-15;60+;0.775
Hamburg;2020-06-16;00-19;1
Hamburg;2020-06-16;20-59;2.6917
Hamburg;2020-06-16;60+;1.5
Hamburg;2020-06-17;00-19;0.05
Hamburg;2020-06-17;20-59;4.525
Hamburg;2020-06-17;60+;1.5
Hamburg;2020-06-18;00-19;0.091667
Hamburg;2020-06-18;20-59;2.5917
Hamburg;2020-06-18;60+;0.19167
Hamburg;2020-06-19;00-19;0.075
Hamburg;2020-06-19;20-59;1.55
Hamburg;2020-06-19;60+;3.7583
Hamburg;2020-06-20;00-19;1
Hamburg;2020-06-20;20-59;2.55
Hamburg;2020-06-20;60+;2.3417
Hamburg;2020-06-21;00-19;2.1083
Hamburg;2020-06-21;20-59;6.0917
Hamburg;2020-06-21;60+;0.60833
Hamburg;2020-06-22;00-19;0.38333
Hamburg;2020-06-22;20-59;6.9167
Hamburg;2020-06-22;60+;1.3833
Hamburg;2020-06-23;00-19;0.375
Hamburg;2020-06-23;20-59;3.8917
Hamburg;2020-06-23;60+;0.73333
Hamburg;2020-06-24;00-19;0.48333
Hamburg;2020-06-24;20-59;3.5
Hamburg;2020-06-24;60+;0.4
Hamburg;2020-06-25;00-19;0.55833
Hamburg;2020-06-25;20-59;3.7833
Hamburg;2020-06-25;60+;0.56667
Hamburg;2020-06-26;00-19;0.575
Hamburg;2020-06-26;20-59;2.5417
Hamburg;2020-06-26;60+;1.525
Hamburg;2020-06-27;00-19;0
Hamburg;2020-06-27;20-59;2.1833
Hamburg;2020-06-27;60+;0.38333
Hamburg;2020-06-28;00-19;0.15833
Hamburg;2020-06-28;20-59;1.1167
Hamburg;2020-06-28;60+;0.325
Hamburg;2020-06-29;00-19;0
Hamburg;2020-06-29;20-59;0.775
Hamburg;2020-06-29;60+;0.23333
Hamburg;2020-06-30;00-19;1.0083
Hamburg;2020-06-30;20-59;2.0417
Hamburg;2020-06-30;60+;0.11667
Hamburg;2020-07-01;00-19;0.0083333
Hamburg;2020-07-01;20-59;0.79167
Hamburg;2020-07-01;60+;0
Hamburg;2020-07-02;00-19;0
Hamburg;2020-07-02;20-59;1.6917
Hamburg;2020-07-02;60+;0
Hamburg;2020-07-03;00-19;0
Hamburg;2020-07-03;20-59;1.5417
Hamburg;2020-07-03;60+;1.0083
Hamburg;2020-07-04;00-19;1
Hamburg;2020-07-04;20-59;3.7583
Hamburg;2020-07-04;60+;0
Hamburg;2020-07-05;00-19;0
Hamburg;2020-07-05;20-59;4.5833
Hamburg;2020-07-05;60+;0.033333
Hamburg;2020-07-06;00-19;0
Hamburg;2020-07-06;20-59;0.68333
Hamburg;2020-07-06;60+;1.0417
Hamburg;2020-07-07;00-19;0
Hamburg;2020-07-07;20-59;2.5417
Hamburg;2020-07-07;60+;2.0333
Hamburg;2020-07-08;00-19;0.05
Hamburg;2020-07-08;20-59;1.4333
Hamburg;2020-07-08;60+;0
Hamburg;2020-07-09;00-19;0.091667
Hamburg;2020-07-09;20-59;0.71667
Hamburg;2020-07-09;60+;0.125
Hamburg;2020-07-10;00-19;0.058333
Hamburg;2020-07-10;20-59;1.5
Hamburg;2020-07-10;60+;0.24167
Hamburg;2020-07-11;00-19;1.075
Hamburg;2020-07-11;20-59;0.59167
Hamburg;2020-07-11;60+;1.025
Hamburg;2020-07-12;00-19;0.033333
Hamburg;2020-07-12;20-59;0.75
Hamburg;2020-07-12;60+;0.25
Hamburg;2020-07-13;00-19;0.33333
Hamburg;2020-07-13;20-59;2.225
Hamburg;2020-07-13;60+;0.15833
Hamburg;2020-07-14;00-19;0.275
Hamburg;2020-07-14;20-59;3.85
Hamburg;2020-07-14;60+;0.81667
Hamburg;2020-07-15;00-19;0.55833
Hamburg;2020-07-15;20-59;4.675
Hamburg;2020-07-15;60+;2.1667
Hamburg;2020-07-16;00-19;1.7417
Hamburg;2020-07-16;20-59;2.65
Hamburg;2020-07-16;60+;0.94167
Hamburg;2020-07-17;00-19;0.95
Hamburg;2020-07-17;20-59;3.75
Hamburg;2020-07-17;60+;0.7
Hamburg;2020-07-18;00-19;1.8833
Hamburg;2020-07-18;20-59;5.325
Hamburg;2020-07-18;60+;0.725
Hamburg;2020-07-19;00-19;2.325
Hamburg;2020-07-19;20-59;5.4167
Hamburg;2020-07-19;60+;1.45
Hamburg;2020-07-20;00-19;2.725
Hamburg;2020-07-20;20-59;8.8333
Hamburg;2020-07-20;60+;4.925
Hamburg;2020-07-21;00-19;3.5917
Hamburg;2020-07-21;20-59;16.975
Hamburg;2020-07-21;60+;3.9333
Hamburg;2020-07-22;00-19;2.225
Hamburg;2020-07-22;20-59;12.058
Hamburg;2020-07-22;60+;2.0083
Hamburg;2020-07-23;00-19;3.65
Hamburg;2020-07-23;20-59;10.425
Hamburg;2020-07-23;60+;1.6
Hamburg;2020-07-24;00-19;1.9083
Hamburg;2020-07-24;20-59;7.1167
Hamburg;2020-07-24;60+;0.825
Hamburg;2020-07-25;00-19;1.1
Hamburg;2020-07-25;20-59;10.233
Hamburg;2020-07-25;60+;3.0583
Hamburg;2020-07-26;00-19;3.4417
Hamburg;2020-07-26;20-59;11.892
Hamburg;2020-07-26;60+;3.025
Hamburg;2020-07-27;00-19;3.725
Hamburg;2020-07-27;20-59;12.65
Hamburg;2020-07-27;60+;2.3083
Hamburg;2020-07-28;00-19;3.2083
Hamburg;2020-07-28;20-59;13.283
Hamburg;2020-07-28;60+;0.70833
Hamburg;2020-07-29;00-19;5.8083
Hamburg;2020-07-29;20-59;16.242
Hamburg;2020-07-29;60+;0.3
Hamburg;2020-07-30;00-19;5.2333
Hamburg;2020-07-30;20-59;16.625
Hamburg;2020-07-30;60+;1.35
Hamburg;2020-07-31;00-19;5.075
Hamburg;2020-07-31;20-59;27.725
Hamburg;2020-07-31;60+;2.0833
Hamburg;2020-08-01;00-19;7.4333
Hamburg;2020-08-01;20-59;22.267
Hamburg;2020-08-01;60+;3.0667
Hamburg;2020-08-02;00-19;10.683
Hamburg;2020-08-02;20-59;20.333
Hamburg;2020-08-02;60+;2.3167
Hamburg;2020-08-03;00-19;8.0333
Hamburg;2020-08-03;20-59;29.125
Hamburg;2020-08-03;60+;1.975
Hamburg;2020-08-04;00-19;4.9333
Hamburg;2020-08-04;20-59;31.558
Hamburg;2020-08-04;60+;0.74167
Hamburg;2020-08-05;00-19;7.7167
Hamburg;2020-08-05;20-59;24.175
Hamburg;2020-08-05;60+;1.1
Hamburg;2020-08-06;00-19;7.1167
Hamburg;2020-08-06;20-59;18.75
Hamburg;2020-08-06;60+;3.575
Hamburg;2020-08-07;00-19;8.4917
Hamburg;2020-08-07;20-59;26.692
Hamburg;2020-08-07;60+;2.6333
Hamburg;2020-08-08;00-19;9.75
Hamburg;2020-08-08;20-59;17.033
Hamburg;2020-08-08;60+;1.7583
Hamburg;2020-08-09;00-19;6.6333
Hamburg;2020-08-09;20-59;17.008
Hamburg;2020-08-09;60+;4.625
Hamburg;2020-08-10;00-19;5.025
Hamburg;2020-08-10;20-59;19.583
Hamburg;2020-08-10;60+;1.2167
Hamburg;2020-08-11;00-19;7.0333
Hamburg;2020-08-11;20-59;17.708
Hamburg;2020-08-11;60+;2.4333
Hamburg;2020-08-12;00-19;7.9
Hamburg;2020-08-12;20-59;16.225
Hamburg;2020-08-12;60+;2.9083
Hamburg;2020-08-13;00-19;5.7
Hamburg;2020-08-13;20-59;16.2
Hamburg;2020-08-13;60+;1.2833
Hamburg;2020-08-14;00-19;5.3833
Hamburg;2020-08-14;20-59;26.008
Hamburg;2020-08-14;60+;2.0333
Hamburg;2020-08-15;00-19;3.3083
Hamburg;2020-08-15;20-59;14.858
Hamburg;2020-08-15;60+;1.1083
Hamburg;2020-08-16;00-19;1.55
Hamburg;2020-08-16;20-59;19.575
Hamburg;2020-08-16;60+;0.94167
Hamburg;2020-08-17;00-19;4.3417
Hamburg;2020-08-17;20-59;19.992
Hamburg;2020-08-17;60+;3.9083
Hamburg;2020-08-18;00-19;3.375
Hamburg;2020-08-18;20-59;22.575
Hamburg;2020-08-18;60+;1.8583
Hamburg;2020-08-19;00-19;1.9667
Hamburg;2020-08-19;20-59;14.2
Hamburg;2020-08-19;60+;1.2583
Hamburg;2020-08-20;00-19;5.4833
Hamburg;2020-08-20;20-59;18.992
Hamburg;2020-08-20;60+;1.175
Hamburg;2020-08-21;00-19;4.2667
Hamburg;2020-08-21;20-59;14.608
Hamburg;2020-08-21;60+;3.25
Hamburg;2020-08-22;00-19;3.0667
Hamburg;2020-08-22;20-59;20.125
Hamburg;2020-08-22;60+;1.0417
Hamburg;2020-08-23;00-19;4.375
Hamburg;2020-08-23;20-59;14.767
Hamburg;2020-08-23;60+;2.4
Hamburg;2020-08-24;00-19;5.1167
Hamburg;2020-08-24;20-59;25.983
Hamburg;2020-08-24;60+;2.8417
Hamburg;2020-08-25;00-19;3.775
Hamburg;2020-08-25;20-59;22.75
Hamburg;2020-08-25;60+;3.4583
Hamburg;2020-08-26;00-19;5.2833
Hamburg;2020-08-26;20-59;32.408
Hamburg;2020-08-26;60+;1.5417
Hamburg;2020-08-27;00-19;5.3
Hamburg;2020-08-27;20-59;28.892
Hamburg;2020-08-27;60+;4.0083
Hamburg;2020-08-28;00-19;5.5333
Hamburg;2020-08-28;20-59;19.925
Hamburg;2020-08-28;60+;2.7083
Hamburg;2020-08-29;00-19;3.8667
Hamburg;2020-08-29;20-59;33.4
Hamburg;2020-08-29;60+;1.6417
Hamburg;2020-08-30;00-19;5.0667
Hamburg;2020-08-30;20-59;23.467
Hamburg;2020-08-30;60+;2.875
Hamburg;2020-08-31;00-19;9.4917
Hamburg;2020-08-31;20-59;32.375
Hamburg;2020-08-31;60+;4.4583
Hamburg;2020-09-01;00-19;7.6083
Hamburg;2020-09-01;20-59;36.65
Hamburg;2020-09-01;60+;4.2083
Hamburg;2020-09-02;00-19;6.1083
Hamburg;2020-09-02;20-59;30.933
Hamburg;2020-09-02;60+;3.05
Hamburg;2020-09-03;00-19;10.392
Hamburg;2020-09-03;20-59;25.633
Hamburg;2020-09-03;60+;2.775
Hamburg;2020-09-04;00-19;13.342
Hamburg;2020-09-04;20-59;28.408
Hamburg;2020-09-04;60+;5.5
Hamburg;2020-09-05;00-19;10.967
Hamburg;2020-09-05;20-59;21.717
Hamburg;2020-09-05;60+;6.225
Hamburg;2020-09-06;00-19;3.8667
Hamburg;2020-09-06;20-59;43.175
Hamburg;2020-09-06;60+;2.5583
Hamburg;2020-09-07;00-19;6.5833
Hamburg;2020-09-07;20-59;28.867
Hamburg;2020-09-07;60+;1.7667
Hamburg;2020-09-08;00-19;12.8
Hamburg;2020-09-08;20-59;36.367
Hamburg;2020-09-08;60+;6.1417
Hamburg;2020-09-09;00-19;14.225
Hamburg;2020-09-09;20-59;41.975
Hamburg;2020-09-09;60+;4.0917
Hamburg;2020-09-10;00-19;5.8167
Hamburg;2020-09-10;20-59;32.775
Hamburg;2020-09-10;60+;3.1667
Hamburg;2020-09-11;00-19;5.9083
Hamburg;2020-09-11;20-59;30.15
Hamburg;2020-09-11;60+;6.1
Hamburg;2020-09-12;00-19;7.675
Hamburg;2020-09-12;20-59;36.45
Hamburg;2020-09-12;60+;1.8667
Hamburg;2020-09-13;00-19;7.825
Hamburg;2020-09-13;20-59;32.667
Hamburg;2020-09-13;60+;4.65
Hamburg;2020-09-14;00-19;8.3833
Hamburg;2020-09-14;20-59;58.708
Hamburg;2020-09-14;60+;6.5
Hamburg;2020-09-15;00-19;8.6583
Hamburg;2020-09-15;20-59;45.683
Hamburg;2020-09-15;60+;9.525
Hamburg;2020-09-16;00-19;18.1
Hamburg;2020-09-16;20-59;50.575
Hamburg;2020-09-16;60+;5.5083
Hamburg;2020-09-17;00-19;9.225
Hamburg;2020-09-17;20-59;51.3
Hamburg;2020-09-17;60+;5.7583
Hamburg;2020-09-18;00-19;15.125
Hamburg;2020-09-18;20-59;51.842
Hamburg;2020-09-18;60+;2.7833
Hamburg;2020-09-19;00-19;13.008
Hamburg;2020-09-19;20-59;36.792
Hamburg;2020-09-19;60+;3.4833
Hamburg;2020-09-20;00-19;9.6417
Hamburg;2020-09-20;20-59;49.658
Hamburg;2020-09-20;60+;6.0083
Hamburg;2020-09-21;00-19;9.8417
Hamburg;2020-09-21;20-59;58.558
Hamburg;2020-09-21;60+;6.7917
Hamburg;2020-09-22;00-19;20.908
Hamburg;2020-09-22;20-59;68.033
Hamburg;2020-09-22;60+;5.0333
Hamburg;2020-09-23;00-19;10.683
Hamburg;2020-09-23;20-59;60.967
Hamburg;2020-09-23;60+;4.6083
Hamburg;2020-09-24;00-19;16.175
Hamburg;2020-09-24;20-59;51.242
Hamburg;2020-09-24;60+;16.383
Hamburg;2020-09-25;00-19;14.917
Hamburg;2020-09-25;20-59;46.692
Hamburg;2020-09-25;60+;9.1833
Hamburg;2020-09-26;00-19;13.417
Hamburg;2020-09-26;20-59;40.975
Hamburg;2020-09-26;60+;8.625
Hamburg;2020-09-27;00-19;12.175
Hamburg;2020-09-27;20-59;48.65
Hamburg;2020-09-27;60+;14.75
Hamburg;2020-09-28;00-19;18.642
Hamburg;2020-09-28;20-59;61.842
Hamburg;2020-09-28;60+;16.633
Hamburg;2020-09-29;00-19;13.4
Hamburg;2020-09-29;20-59;72.642
Hamburg;2020-09-29;60+;14.092
Hamburg;2020-09-30;00-19;16.908
Hamburg;2020-09-30;20-59;62.683
Hamburg;2020-09-30;60+;14.567
Hamburg;2020-10-01;00-19;15.808
Hamburg;2020-10-01;20-59;71.483
Hamburg;2020-10-01;60+;17.783
Hamburg;2020-10-02;00-19;15.267
Hamburg;2020-10-02;20-59;69.792
Hamburg;2020-10-02;60+;14.217
Hamburg;2020-10-03;00-19;13.425
Hamburg;2020-10-03;20-59;76.875
Hamburg;2020-10-03;60+;11.958
Hamburg;2020-10-04;00-19;12.908
Hamburg;2020-10-04;20-59;63.875
Hamburg;2020-10-04;60+;12.675
Hamburg;2020-10-05;00-19;15.975
Hamburg;2020-10-05;20-59;93.65
Hamburg;2020-10-05;60+;10.117
Hamburg;2020-10-06;00-19;14.367
Hamburg;2020-10-06;20-59;89.908
Hamburg;2020-10-06;60+;7.7333
Hamburg;2020-10-07;00-19;13.283
Hamburg;2020-10-07;20-59;81.742
Hamburg;2020-10-07;60+;12.183
Hamburg;2020-10-08;00-19;20.9
Hamburg;2020-10-08;20-59;82.183
Hamburg;2020-10-08;60+;10.383
Hamburg;2020-10-09;00-19;13.033
Hamburg;2020-10-09;20-59;88.367
Hamburg;2020-10-09;60+;13.583
Hamburg;2020-10-10;00-19;19.192
Hamburg;2020-10-10;20-59;80.175
Hamburg;2020-10-10;60+;10.958
Hamburg;2020-10-11;00-19;15.883
Hamburg;2020-10-11;20-59;87.008
Hamburg;2020-10-11;60+;15.233
Hamburg;2020-10-12;00-19;17.842
Hamburg;2020-10-12;20-59;132.87
Hamburg;2020-10-12;60+;20.5
Hamburg;2020-10-13;00-19;20.742
Hamburg;2020-10-13;20-59;127.38
Hamburg;2020-10-13;60+;20.025
Hamburg;2020-10-14;00-19;27.408
Hamburg;2020-10-14;20-59;163.03
Hamburg;2020-10-14;60+;25.583
Hamburg;2020-10-15;00-19;35.667
Hamburg;2020-10-15;20-59;144.42
Hamburg;2020-10-15;60+;27.358
Hamburg;2020-10-16;00-19;30.708
Hamburg;2020-10-16;20-59;149.34
Hamburg;2020-10-16;60+;33.825
Hamburg;2020-10-17;00-19;26.258
Hamburg;2020-10-17;20-59;161.67
Hamburg;2020-10-17;60+;25.592
Hamburg;2020-10-18;00-19;31.808
Hamburg;2020-10-18;20-59;165.43
Hamburg;2020-10-18;60+;34.717
Hamburg;2020-10-19;00-19;45.95
Hamburg;2020-10-19;20-59;238.33
Hamburg;2020-10-19;60+;38.575
Hamburg;2020-10-20;00-19;48.425
Hamburg;2020-10-20;20-59;278.43
Hamburg;2020-10-20;60+;43.717
Hamburg;2020-10-21;00-19;47.692
Hamburg;2020-10-21;20-59;227.41
Hamburg;2020-10-21;60+;46.233
Hamburg;2020-10-22;00-19;55.467
Hamburg;2020-10-22;20-59;258.78
Hamburg;2020-10-22;60+;49.325
Hamburg;2020-10-23;00-19;52.158
Hamburg;2020-10-23;20-59;276.55
Hamburg;2020-10-23;60+;50.142
Hamburg;2020-10-24;00-19;48.975
Hamburg;2020-10-24;20-59;251.3
Hamburg;2020-10-24;60+;43.583
Hamburg;2020-10-25;00-19;56.042
Hamburg;2020-10-25;20-59;260.11
Hamburg;2020-10-25;60+;51.358
Hamburg;2020-10-26;00-19;81.2
Hamburg;2020-10-26;20-59;299.12
Hamburg;2020-10-26;60+;54.117
Hamburg;2020-10-27;00-19;66.025
Hamburg;2020-10-27;20-59;308.95
Hamburg;2020-10-27;60+;60.692
Hamburg;2020-10-28;00-19;72.625
Hamburg;2020-10-28;20-59;310.27
Hamburg;2020-10-28;60+;59.15
Hamburg;2020-10-29;00-19;69.108
Hamburg;2020-10-29;20-59;280.58
Hamburg;2020-10-29;60+;51.5
Hamburg;2020-10-30;00-19;80.308
Hamburg;2020-10-30;20-59;281.28
Hamburg;2020-10-30;60+;56.083
Hamburg;2020-10-31;00-19;65.533
Hamburg;2020-10-31;20-59;260.68
Hamburg;2020-10-31;60+;52.842
Hamburg;2020-11-01;00-19;78.9
Hamburg;2020-11-01;20-59;282.23
Hamburg;2020-11-01;60+;58.292
Hamburg;2020-11-02;00-19;97.125
