Zeitpunkt;Bundesland;Kreis;Kreisschlüssel;Altersgruppe;Bevölkerung
Ende 2020;Niedersachsen;SK Oldenburg;03403;00-17;26111
Ende 2020;Niedersachsen;SK Oldenburg;03403;18-59;100055
Ende 2020;Niedersachsen;SK Oldenburg;03403;60+;43439
Ende 2020;Niedersachsen;SK Osnabrück;03404;00-17;24588
Ende 2020;Niedersachsen;SK Osnabrück;03404;18-59;99061
Ende 2020;Niedersachsen;SK Osnabrück;03404;60+;40574
Ende 2020;Bayern;SK Passau;09262;00-17;6970
Ende 2020;Bayern;SK Passau;09262;18-59;30788
Ende 2020;Bayern;SK Passau;09262;60+;14657
Ende 2020;Baden-Württemberg;SK Pforzheim;08231;00-17;22770
Ende 2020;Baden-Württemberg;SK Pforzheim;08231;18-59;69920
Ende 2020;Baden-Württemberg;SK Pforzheim;08231;60+;33326
Ende 2020;Rheinland-Pfalz;SK Pirmasens;07317;00-17;6180
Ende 2020;Rheinland-Pfalz;SK Pirmasens;07317;18-59;20423
Ende 2020;Rheinland-Pfalz;SK Pirmasens;07317;60+;13573
Ende 2020;Brandenburg;SK Potsdam;12054;00-17;32318
Ende 2020;Brandenburg;SK Potsdam;12054;18-59;103293
Ende 2020;Brandenburg;SK Potsdam;12054;60+;46501
Ende 2020;Bayern;SK Regensburg;09362;00-17;22208
Ende 2020;Bayern;SK Regensburg;09362;18-59;95180
Ende 2020;Bayern;SK Regensburg;09362;60+;34882
Ende 2020;Nordrhein-Westfalen;SK Remscheid;05120;00-17;19090
Ende 2020;Nordrhein-Westfalen;SK Remscheid;05120;18-59;59769
Ende 2020;Nordrhein-Westfalen;SK Remscheid;05120;60+;32657
Ende 2020;Bayern;SK Rosenheim;09163;00-17;10463
Ende 2020;Bayern;SK Rosenheim;09163;18-59;36594
Ende 2020;Bayern;SK Rosenheim;09163;60+;16534
Ende 2020;Mecklenburg-Vorpommern;SK Rostock;13003;00-17;29613
Ende 2020;Mecklenburg-Vorpommern;SK Rostock;13003;18-59;114836
Ende 2020;Mecklenburg-Vorpommern;SK Rostock;13003;60+;64612
Ende 2020;Niedersachsen;SK Salzgitter;03102;00-17;19093
Ende 2020;Niedersachsen;SK Salzgitter;03102;18-59;53746
Ende 2020;Niedersachsen;SK Salzgitter;03102;60+;31027
Ende 2020;Bayern;SK Schwabach;09565;00-17;6959
Ende 2020;Bayern;SK Schwabach;09565;18-59;22405
Ende 2020;Bayern;SK Schwabach;09565;60+;11692
Ende 2020;Bayern;SK Schweinfurt;09662;00-17;8671
Ende 2020;Bayern;SK Schweinfurt;09662;18-59;28193
Ende 2020;Bayern;SK Schweinfurt;09662;60+;16455
Ende 2020;Mecklenburg-Vorpommern;SK Schwerin;13004;00-17;15243
Ende 2020;Mecklenburg-Vorpommern;SK Schwerin;13004;18-59;48103
Ende 2020;Mecklenburg-Vorpommern;SK Schwerin;13004;60+;32263
Ende 2020;Nordrhein-Westfalen;SK Solingen;05122;00-17;27241
Ende 2020;Nordrhein-Westfalen;SK Solingen;05122;18-59;86442
Ende 2020;Nordrhein-Westfalen;SK Solingen;05122;60+;45510
Ende 2020;Rheinland-Pfalz;SK Speyer;07318;00-17;8119
Ende 2020;Rheinland-Pfalz;SK Speyer;07318;18-59;27179
Ende 2020;Rheinland-Pfalz;SK Speyer;07318;60+;15443
Ende 2020;Bayern;SK Straubing;09263;00-17;7042
Ende 2020;Bayern;SK Straubing;09263;18-59;26896
Ende 2020;Bayern;SK Straubing;09263;60+;13674
Ende 2020;Baden-Württemberg;SK Stuttgart;08111;00-17;97186
Ende 2020;Baden-Württemberg;SK Stuttgart;08111;18-59;385173
Ende 2020;Baden-Württemberg;SK Stuttgart;08111;60+;147946
Ende 2020;Thüringen;SK Suhl;16054;00-17;4481
Ende 2020;Thüringen;SK Suhl;16054;18-59;16741
Ende 2020;Thüringen;SK Suhl;16054;60+;15173
Ende 2020;Rheinland-Pfalz;SK Trier;07211;00-17;16096
Ende 2020;Rheinland-Pfalz;SK Trier;07211;18-59;67921
Ende 2020;Rheinland-Pfalz;SK Trier;07211;60+;26657
Ende 2020;Baden-Württemberg;SK Ulm;08421;00-17;20547
Ende 2020;Baden-Württemberg;SK Ulm;08421;18-59;75141
Ende 2020;Baden-Württemberg;SK Ulm;08421;60+;30717
Ende 2020;Bayern;SK Weiden i.d.OPf.;09363;00-17;6380
Ende 2020;Bayern;SK Weiden i.d.OPf.;09363;18-59;23256
Ende 2020;Bayern;SK Weiden i.d.OPf.;09363;60+;12899
Ende 2020;Thüringen;SK Weimar;16055;00-17;10729
Ende 2020;Thüringen;SK Weimar;16055;18-59;34869
Ende 2020;Thüringen;SK Weimar;16055;60+;19500
Ende 2020;Hessen;SK Wiesbaden;06414;00-17;49879
Ende 2020;Hessen;SK Wiesbaden;06414;18-59;155580
Ende 2020;Hessen;SK Wiesbaden;06414;60+;73150
Ende 2020;Niedersachsen;SK Wilhelmshaven;03405;00-17;11073
Ende 2020;Niedersachsen;SK Wilhelmshaven;03405;18-59;39245
Ende 2020;Niedersachsen;SK Wilhelmshaven;03405;60+;24871
Ende 2020;Niedersachsen;SK Wolfsburg;03103;00-17;21052
Ende 2020;Niedersachsen;SK Wolfsburg;03103;18-59;67026
Ende 2020;Niedersachsen;SK Wolfsburg;03103;60+;35762
Ende 2020;Rheinland-Pfalz;SK Worms;07319;00-17;14602
Ende 2020;Rheinland-Pfalz;SK Worms;07319;18-59;45594
Ende 2020;Rheinland-Pfalz;SK Worms;07319;60+;23263
Ende 2020;Nordrhein-Westfalen;SK Wuppertal;05124;00-17;61914
Ende 2020;Nordrhein-Westfalen;SK Wuppertal;05124;18-59;195808
Ende 2020;Nordrhein-Westfalen;SK Wuppertal;05124;60+;97282
Ende 2020;Bayern;SK Würzburg;09663;00-17;16092
Ende 2020;Bayern;SK Würzburg;09663;18-59;77804
Ende 2020;Bayern;SK Würzburg;09663;60+;33058
Ende 2020;Rheinland-Pfalz;SK Zweibrücken;07320;00-17;5323
Ende 2020;Rheinland-Pfalz;SK Zweibrücken;07320;18-59;17978
Ende 2020;Rheinland-Pfalz;SK Zweibrücken;07320;60+;10700
Ende 2020;Nordrhein-Westfalen;StädteRegion Aachen;05334;00-17;86444
Ende 2020;Nordrhein-Westfalen;StädteRegion Aachen;05334;18-59;318287
Ende 2020;Nordrhein-Westfalen;StädteRegion Aachen;05334;60+;151900
